Validation_Set,Topics,Alpha,Beta,Coherence
100.0% Corpus,6,0.9099999999999999,0.01,0.3665678928403014
100.0% Corpus,6,0.9099999999999999,0.31,0.35650045463188373
100.0% Corpus,6,0.9099999999999999,0.61,0.32721465765410396
100.0% Corpus,6,0.9099999999999999,0.9099999999999999,0.34673544807345946
100.0% Corpus,6,0.9099999999999999,symmetric,0.3374899541762657
100.0% Corpus,6,symmetric,0.01,0.34097421900781216
100.0% Corpus,6,symmetric,0.31,0.3359516962258849
100.0% Corpus,6,symmetric,0.61,0.34630744679369374
100.0% Corpus,6,symmetric,0.9099999999999999,0.3417280821339326
100.0% Corpus,6,symmetric,symmetric,0.3408150279364197
100.0% Corpus,6,asymmetric,0.01,0.34858382355729134
100.0% Corpus,6,asymmetric,0.31,0.3373301883612858
100.0% Corpus,6,asymmetric,0.61,0.34678200009162236
100.0% Corpus,6,asymmetric,0.9099999999999999,0.3491199210729378
100.0% Corpus,6,asymmetric,symmetric,0.3490039966289644
100.0% Corpus,7,0.01,0.01,0.41114047805269643
100.0% Corpus,7,0.01,0.31,0.3941869242130894
100.0% Corpus,7,0.01,0.61,0.41392107305096115
100.0% Corpus,7,0.01,0.9099999999999999,0.41844659726479083
100.0% Corpus,7,0.01,symmetric,0.41383636119755424
100.0% Corpus,7,0.31,0.01,0.4065775768105761
100.0% Corpus,7,0.31,0.31,0.39306119635001746
100.0% Corpus,7,0.31,0.61,0.3935901542524411
100.0% Corpus,7,0.31,0.9099999999999999,0.4084416580766666
100.0% Corpus,7,0.31,symmetric,0.3929566943350099
100.0% Corpus,7,0.61,0.01,0.35791558772399157
100.0% Corpus,7,0.61,0.31,0.38079020277709746
100.0% Corpus,7,0.61,0.61,0.3707599016520269
100.0% Corpus,7,0.61,0.9099999999999999,0.3716921517181503
100.0% Corpus,7,0.61,symmetric,0.3584606351435476
100.0% Corpus,7,0.9099999999999999,0.01,0.36793947941206556
100.0% Corpus,7,0.9099999999999999,0.31,0.35952725483841375
100.0% Corpus,7,0.9099999999999999,0.61,0.3586824514461742
100.0% Corpus,7,0.9099999999999999,0.9099999999999999,0.3519627674158445
100.0% Corpus,7,0.9099999999999999,symmetric,0.3618249589979654
100.0% Corpus,7,symmetric,0.01,0.3923299209506851
100.0% Corpus,7,symmetric,0.31,0.40888490113506204
100.0% Corpus,7,symmetric,0.61,0.41188634538626573
100.0% Corpus,7,symmetric,0.9099999999999999,0.4037856118166997
100.0% Corpus,7,symmetric,symmetric,0.3839141858961293
100.0% Corpus,7,asymmetric,0.01,0.3966031085989998
100.0% Corpus,7,asymmetric,0.31,0.35292266008515494
100.0% Corpus,7,asymmetric,0.61,0.4060397189931098
100.0% Corpus,7,asymmetric,0.9099999999999999,0.41149367082157984
100.0% Corpus,7,asymmetric,symmetric,0.41088911298259767
100.0% Corpus,8,0.01,0.01,0.4001031105347122
100.0% Corpus,8,0.01,0.31,0.40031671196494567
100.0% Corpus,8,0.01,0.61,0.40034018596904186
100.0% Corpus,8,0.01,0.9099999999999999,0.3967267555446564
